iter	MultiClass
0	0.8000422454
1	0.6814055035
2	0.6112296826
3	0.546051581
4	0.5046045206
5	0.4782412824
6	0.4497156687
7	0.4321424116
8	0.4192059778
9	0.4126558575
10	0.403843662
11	0.3998546821
12	0.3930893102
13	0.3914849876
14	0.3905322082
15	0.3851488252
16	0.3783649307
17	0.3751000351
18	0.3692291455
19	0.3646743504
20	0.3620894347
21	0.3602318342
22	0.356576053
23	0.3533440092
24	0.3512344686
25	0.3494494724
26	0.3460142221
27	0.3434423196
28	0.34004737
29	0.3372545148
30	0.3353559093
31	0.3334287983
32	0.331754833
33	0.3294003411
34	0.327899847
35	0.324382476
36	0.3214866036
37	0.3184988981
38	0.3170761954
39	0.3162374698
40	0.3150897441
41	0.314459855
42	0.3136752587
43	0.3105355083
44	0.3094446351
45	0.3075318526
46	0.3057788841
47	0.3045969226
48	0.3034907587
49	0.3017083293
