iter	Passed	Remaining
0	58	2862
1	60	1458
2	62	975
3	63	731
4	65	585
5	66	489
6	68	420
7	69	366
8	71	324
9	72	289
10	73	261
11	74	237
12	76	216
13	76	197
14	78	182
15	79	168
16	80	156
17	81	145
18	83	136
19	84	127
20	85	118
21	87	111
22	88	103
23	89	97
24	91	91
25	92	85
26	93	79
27	94	74
28	96	69
29	97	64
30	99	60
31	100	56
32	102	52
33	103	48
34	104	44
35	105	41
36	107	37
37	108	34
38	109	30
39	111	27
40	112	24
41	113	21
42	115	18
43	116	15
44	118	13
45	119	10
46	120	7
47	121	5
48	123	2
49	124	0
